id,rec_id,title,image,usedIngredientCount,missedIngredientCount,likes,created_at,updated_at,store_id
1204,546524,Wicked Cupcakes,https://spoonacular.com/recipeImages/wicked-cupcakes-546524.jpeg,5,13,12,2018-01-07 22:22:48 UTC,2018-01-07 22:22:48 UTC,140
275,587932,The Comfy Meal Plan and Winners Announced for WLW,https://spoonacular.com/recipeImages/the-comfy-meal-plan-and-winners-announced-for-wlw-587932.jpg,8,22,0,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
276,623965,Café Mocha and Green Power Smoothie,https://spoonacular.com/recipeImages/Caf-Mocha-and-Green-Power-Smoothie-623965.jpg,7,6,6,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
277,737058,Cheeseburger Cupcakes,https://spoonacular.com/recipeImages/cheeseburger-cupcakes-737058.jpeg,7,10,1,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
278,222136,Cabbage & pork empanadas,https://spoonacular.com/recipeImages/Cabbage---pork-empanadas-222136.jpg,6,6,99,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
279,524213,"layered slaw with beets, apple, cheddar and bacon",https://spoonacular.com/recipeImages/layered-slaw-with-beets--apple--cheddar-and-bacon-524213.jpg,6,9,232,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
280,109487,Deluxe Chicken Supper,https://spoonacular.com/recipeImages/deluxe-chicken-supper-2-109487.jpg,6,10,1,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
281,770137,Seafood Po' Boy with Umami Remoulade,https://spoonacular.com/recipeImages/seafood-po-boy-with-umami-remoulade-770137.jpeg,6,15,4,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
282,575942,"Week of Meals For College Students – Burgers, Pasta & Omelette Week",https://spoonacular.com/recipeImages/week-of-meals-for-college-students-burgers-pasta-omelette-week-575942.jpg,6,17,3,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
283,11616,Stuffed Whole Cabbage,https://spoonacular.com/recipeImages/null,6,18,19,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
284,300633,Crepes Buffet,https://spoonacular.com/recipeImages/crepes-buffet-300633.jpeg,6,18,0,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
285,109026,Mashpotinis,https://spoonacular.com/recipeImages/mashpotinis-109026.jpg,6,21,0,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
286,248729,"Apple, Bacon and Cheddar Sticky Buns",https://spoonacular.com/recipeImages/Apple--Bacon-and-Cheddar-Sticky-Buns-248729.jpg,5,6,1856,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
287,474663,Chopped Salmon Arugula Walnut Salad with Honey Wasabi Vinaigrette,https://spoonacular.com/recipeImages/Chopped-Salmon-Arugula-Walnut-Salad-with-Honey-Wasabi-Vinaigrette-474663.jpg,5,7,976,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
288,621394,"apple, walnut + brie bread pudding pancakes",https://spoonacular.com/recipeImages/apple--walnut-+-brie-bread-pudding-pancakes-621394.jpg,5,7,246,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
289,867814,Egg and Avocado Breakfast Sandwich,https://spoonacular.com/recipeImages/egg-and-avocado-breakfast-sandwich-867814.jpg,5,8,1839,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
290,147616,California Quiche,https://spoonacular.com/recipeImages/california-quiche-2-147616.jpg,5,8,0,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
291,113460,True Breakfast Cookies,https://spoonacular.com/recipeImages/true-breakfast-cookies-2-113460.jpg,5,9,15,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
292,89876,Tuna Mornay With Orange and Leek,https://spoonacular.com/recipeImages/tuna-mornay-with-orange-and-leek-2-89876.jpg,5,9,0,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
293,289854,Big Bacon Burger,https://spoonacular.com/recipeImages/big-bacon-burger-289854.jpeg,5,9,0,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
294,318405,"Popovers Stuffed with Crab, Avocado and Mango Chopped Salad",https://spoonacular.com/recipeImages/popovers-stuffed-with-crab-avocado-and-mango-chopped-salad-318405.jpeg,5,9,0,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
295,752843,Ploughman's Lunch,https://spoonacular.com/recipeImages/ploughmans-lunch-752843.jpeg,5,11,628,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
296,363658,Chocolate Peanut Butter Banana Cream Pie,https://spoonacular.com/recipeImages/chocolate-peanut-butter-banana-cream-pie-363658.jpeg,5,11,3,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
297,546524,Wicked Cupcakes,https://spoonacular.com/recipeImages/wicked-cupcakes-546524.jpeg,5,13,12,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
298,315037,"Oaxaca Burger with Manchego, Avocado and Pickled Habanero Onions",https://spoonacular.com/recipeImages/oaxaca-burger-with-manchego-avocado-and-pickled-habanero-onions-315037.jpeg,5,22,3,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
299,128777,Polka Dot Quick Bread,https://spoonacular.com/recipeImages/polka-dot-quick-bread-2-128777.jpg,4,4,0,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
300,422977,Holiday Cranberry-Walnut Salad,https://spoonacular.com/recipeImages/Holiday-Cranberry-Walnut-Salad-422977.jpg,4,4,0,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
301,530373,Sweet Potato Quiche with Bacon and Mushrooms,https://spoonacular.com/recipeImages/Sweet-Potato-Quiche-with-Bacon-and-Mushrooms-530373.jpg,4,6,27,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
302,477900,Louisville Hot Browns on a Dutch Crunch Roll,https://spoonacular.com/recipeImages/Louisville-Hot-Browns-on-a-Dutch-Crunch-Roll-477900.jpg,4,8,146,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
303,98950,Craze-E Crock-Pot Burgers & Cheesy Pasta,https://spoonacular.com/recipeImages/craze-e-crock-pot-burgers-amp-cheesy-pasta-2-98950.jpg,4,8,15,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
304,95148,Autumn Carrot Soup,https://spoonacular.com/recipeImages/autumn-carrot-soup-2-95148.jpg,4,9,1,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
305,428920,Sage Sausage Dressing,https://spoonacular.com/recipeImages/Sage-Sausage-Dressing-428920.jpg,4,9,0,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
306,99076,Columbia Bar & Grill's Grain & Cheeseburgers,https://spoonacular.com/recipeImages/columbia-bar-grills-grain-cheeseburgers-2-99076.jpg,4,10,3,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
307,19613,Spinach Mushroom And Bacon Cheese Fondue Recipe,https://spoonacular.com/recipeImages/Spinach-Mushroom-And-Bacon-Cheese-Fondue-Recipe-19613.jpg,4,11,121,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
308,602612,Spinach Mushroom and Bacon Cheese Fondue,https://spoonacular.com/recipeImages/Spinach-Mushroom-and-Bacon-Cheese-Fondue-602612.jpg,4,11,118,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
309,664386,Vegan Apple Chestnut Corn Bread Stuffing,https://spoonacular.com/recipeImages/null,4,14,1,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
310,315374,"Creamy Apple and Celery Root Soup with Grilled Cheddar, Bacon and Apple Honey Mustard Sandwich",https://spoonacular.com/recipeImages/creamy-apple-and-celery-root-soup-with-grilled-cheddar-bacon-and-apple-honey-mustard-sandwich-315374.jpeg,4,14,0,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
